id,name,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,minimum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,review_scores_rating,instant_bookable,washer_agg,shampoo|conditioner_agg,reviews_per_month, Baking sheet, Barbecue utensils, Bathtub, Beach essentials, Beachfront, Bed linens, Breakfast, Building staff, Carbon monoxide alarm, Ceiling fan, Changing table, Cleaning before checkout, Coffee maker, Cooking basics, Dedicated workspace, Dishes and silverware, Elevator, Essentials, Extra pillows and blankets, Fire extinguisher, First aid kit, Freezer, Game console, Garden or backyard, Gym, Hangers, Host greets you, Hot tub, Hot water, Indoor fireplace, Iron, Keypad, Kitchen, Laundromat nearby, Lock on bedroom door, Long term stays allowed, Luggage dropoff allowed, Microwave, Pool, Portable fans, Private entrance, Private living room, Single level home, Waterfront, Window guards,Cooking basics,Hot water,Kitchen,Long term stays allowed,Room-darkening shades,sound_agg,wifi|ethernet|internet_agg,HDTV|TV_agg,refrigerator_agg,Smart.*Lock|Smoke.*Alarm|Safe|Lockbox_agg,balcony_agg,stove_agg,oven_agg,body|gel_agg,BBQ_agg,air_agg,dryer_agg,baby_agg,free.*parking_agg,paid.*parking_agg,heating_agg,f_property_type,f_room_type,f_neighbourhood,bathrooms,ln_price,flag_review_scores_rating,flag_reviews_per_month,accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_number_of_reviews,ln_review_scores_rating,f_minimum_nights
11156,An Oasis in the City,"Potts Point, New South Wales, Australia",Sydney,-33.86934,151.22688,Apartment,Private_room,1,1 shared bath,1,1,65,2,2,2,1,29,59,89,364,2020-12-16,196,8,92,0,1,1,1.46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,Apartment,Private_room,Sydney,3,4.174387269895637,0,0,1,0,0,0,5.2832037287379885,3,4.5217885770490405,2
15253,Unique Designer Rooftop Apartment in City Location,"Darlinghurst, New South Wales, Australia",Sydney,-33.87964,151.2168,Apartment,Private_room,2,1 private bath,1,1,97,2,2,2,1,5,35,65,340,2020-12-15,365,18,88,0,1,1,3.4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,Apartment,Private_room,Sydney,3,4.574710978503383,0,0,4,0.6931471805599453,0.4804530139182014,0,5.902633333401366,3,4.477336814478207,2
66158,LONGER TERM TENANT wanted for furnished studio,"Elizabeth Bay, SYDNEY , Australia",Sydney,-33.87248,151.22814,Apartment,Entire_apt,1,1 bath,1,1,57,30,30,30,1,29,59,89,364,2020-12-15,16,1,80,0,1,0,0.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,Apartment,Entire_apt,Sydney,3,4.04305126783455,0,0,1,0,0,0,2.833213344056216,2,4.382026634673881,3
153444,Perfect for Visitors / Staycationers /Home Workers,"Potts Point, New South Wales, Australia",Sydney,-33.87249,151.22479,Apartment,Entire_apt,2,1 bath,1,1,80,28,28,28,1,0,24,54,74,2020-12-15,221,14,95,0,0,1,2.18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,Apartment,Entire_apt,Sydney,3,4.382026634673881,0,0,4,0.6931471805599453,0.4804530139182014,0,5.402677381872279,3,4.553876891600541,3
199043,CLOSE TO THE CITY 1,"Rosebery, New South Wales, Australia",Sydney,-33.91464,151.21125,Apartment,Private_room,2,2.5 baths,1,1,74,14,14,14,1,29,59,89,89,2020-12-16,71,0,96,0,1,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,Apartment,Private_room,Sydney,7,4.30406509320417,0,0,4,0.6931471805599453,0.4804530139182014,0,4.276666119016055,3,4.564348191467836,3
210439,"Great Location, Paris End,  Potts Point Sydney","Sydney, New South Wales, Australia",Sydney,-33.86699,151.22433,Apartment,Entire_apt,2,1 bath,1,1,110,2,2,2,1,0,0,0,0,2020-12-15,19,1,96,0,1,1,0.29,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,Apartment,Entire_apt,Sydney,3,4.700480365792417,0,0,4,0.6931471805599453,0.4804530139182014,0,2.995732273553991,2,4.564348191467836,2
249158,Top Floor Apartment Steps To Darling Harbour & ICC,"Ultimo, New South Wales, Australia",Sydney,-33.87536,151.19675,Apartment,Entire_apt,2,1 bath,1,2,133,7,2,3.1,1,0,0,12,287,2020-12-16,96,5,90,1,1,1,0.88,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,Apartment,Entire_apt,Sydney,3,4.890349128221754,0,0,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,4.574710978503383,3,4.499809670330265,3
276617,Potts Point Apt - Sunny with Views,"Potts Point, New South Wales, Australia",Sydney,-33.8727,151.22403,Apartment,Entire_apt,4,1 bath,1,2,149,3,3,3.2,1,0,0,0,0,2020-12-16,275,9,95,0,1,1,2.52,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,Apartment,Entire_apt,Sydney,3,5.003946305945459,0,0,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,5.62040086571715,3,4.553876891600541,3
283378,Wow factor Harbour & Fire works,,Sydney,-33.87734,151.22095,Apartment,Private_room,2,,1,1,275,14,14,14,1,0,0,0,0,2020-12-16,0,0,96,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,Apartment,Private_room,Sydney,1,5.616771097666572,1,1,4,0.6931471805599453,0.4804530139182014,0,0,1,4.564348191467836,3
363282,Lux pad in Potts Point,"Elizabeth Bay, New South Wales, Australia",Sydney,-33.87109,151.22398,Apartment,Entire_apt,3,1 bath,1,1,264,1,1,1,1,1,1,1,1,2020-12-16,74,1,97,0,1,1,0.71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,Apartment,Entire_apt,Sydney,3,5.575949103146316,0,0,9,1.0986122886681098,1.206948960812582,0,4.31748811353631,3,4.574710978503383,1
374069,Quiet Location Near Universities!,"Chippendale, New South Wales, Australia",Sydney,-33.88844,151.19613,Apartment,Private_room,2,2.5 baths,1,1,120,5,5,5,1,30,60,90,365,2020-12-15,159,3,98,0,1,1,1.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,Apartment,Private_room,Sydney,7,4.787491742782046,0,0,4,0.6931471805599453,0.4804530139182014,0,5.075173815233827,3,4.584967478670572,3
381091,Central + Surry Hills + Views + YAY,,Sydney,-33.88362,151.21188,Apartment,Entire_apt,2,1 bath,1,1,149,2,2,2,1,0,0,0,0,2020-12-15,350,11,98,0,1,1,3.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,Apartment,Entire_apt,Sydney,3,5.003946305945459,0,0,4,0.6931471805599453,0.4804530139182014,0,5.860786223465865,3,4.584967478670572,2
386997,Beautiful 2 Bedroom Apt Min Walk to the City,"Chippendale, New South Wales, Australia",Sydney,-33.88712,151.19678,Apartment,Entire_apt,4,1 bath,2,2,166,7,7,7,1,0,0,0,0,2020-12-16,177,16,96,0,1,1,1.69,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,Apartment,Entire_apt,Sydney,3,5.111987788356544,0,0,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,5.181783550292085,3,4.564348191467836,3
410073,Sydney Opera House-20min walk,"Woolloomooloo, New South Wales, Australia",Sydney,-33.87038,151.22047,Apartment,Entire_apt,3,1 bath,1,2,141,3,2,3,1,0,0,0,0,2020-12-16,210,13,94,0,1,1,2.02,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,Apartment,Entire_apt,Sydney,3,4.948759890378168,0,0,9,1.0986122886681098,1.206948960812582,0.6931471805599453,5.351858133476067,3,4.543294782270004,3
461984,Business Bliss & Travellers Delight,"Rosebery, New South Wales, Australia",Sydney,-33.91476,151.20641,Condominium,Private_room,2,1 shared bath,1,2,80,1,1,1,1,30,57,87,358,2020-12-16,12,0,98,0,1,1,0.12,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,Condominium,Private_room,Sydney,3,4.382026634673881,0,0,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,2.5649493574615367,2,4.584967478670572,1
470500,"Modern apt. in Camperdown, Sydney","Camperdown, New South Wales, Australia",Sydney,-33.88996,151.17949,Apartment,Entire_apt,4,2 baths,2,2,117,14,14,14,1,0,0,0,0,2020-12-15,5,0,90,0,1,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,Apartment,Entire_apt,Sydney,6,4.762173934797756,0,0,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1.791759469228055,2,4.499809670330265,3
498008,In The Heart of Sydney CBD ! WIFI,,Sydney,-33.8634,151.21103,Apartment,Entire_apt,4,1 bath,1,2,250,5,3,4.1,1,14,44,74,346,2020-12-15,351,24,94,0,1,1,3.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,Apartment,Entire_apt,Sydney,3,5.521460917862246,0,0,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,5.863631175598097,3,4.543294782270004,3
555783,Trendy Apartment in Perfect Surry Hills Location,"Surry Hills, New South Wales, Australia",Sydney,-33.88989,151.20608,Condominium,Entire_apt,4,1 bath,2,2,244,5,5,5,1,0,0,0,0,2020-12-15,32,0,90,0,1,1,0.32,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,Condominium,Entire_apt,Sydney,3,5.497168225293202,0,0,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,3.4965075614664802,2,4.499809670330265,3
556348,Million $$ Views 1 Bdr Potts Point,,Sydney,-33.86995,151.22363000000001,Apartment,Entire_apt,3,1 bath,1,1,215,2,2,2,1,0,0,0,0,2020-12-16,0,0,96,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Apartment,Entire_apt,Sydney,3,5.3706380281276624,1,1,9,1.0986122886681098,1.206948960812582,0,0,1,4.564348191467836,2
562837,Huge harbour facing home,"Sydney, New South Wales, Australia",Sydney,-33.86949,151.22479,Apartment,Entire_apt,4,2.5 baths,2,2,550,6,6,6,1,23,53,83,358,2020-12-16,0,0,96,0,1,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,Apartment,Entire_apt,Sydney,7,6.309918278226516,1,1,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,0,1,4.564348191467836,3
593481,LovelyStudio Near Sydney University,"Darlington, New South Wales, Australia",Sydney,-33.89299,151.1965,Apartment,Entire_apt,2,1 bath,1,1,109,2,2,2,1,0,0,0,0,2020-12-16,65,0,98,0,1,1,0.65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,Apartment,Entire_apt,Sydney,3,4.6913478822291435,0,0,4,0.6931471805599453,0.4804530139182014,0,4.189654742026425,3,4.584967478670572,2
